tweet_id,author_id,conversation_id,timestamp,geolocation_id,num_likes,num_retweets,text,
17519,1.13744E+18,None,29-11-2020 08:01,None,0,4,"RT @RiseFox: Streaming the lat'
",
17520,8.75082E+17,None,29-11-2020 08:01,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17521,97319593,None,29-11-2020 08:00,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17522,1.06842E+18,None,29-11-2020 08:00,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17523,327543136,None,29-11-2020 08:00,None,2,4,"Streaming the latest games on '
",
17524,1.2971E+18,None,29-11-2020 08:00,None,0,1,"RT @TTV_GameMaster: #FunFact y'
",
17525,3322519625,None,29-11-2020 08:00,None,0,420,"RT @CP2077Countdown: After tod'
",
17526,8.9674E+17,None,29-11-2020 08:00,None,0,0,"#Google has released a five-mi'
",
17527,1.27227E+18,None,29-11-2020 07:59,None,0,91,"RT @LegacyKillaHD: 12 days awa'
",
17528,1.27972E+18,None,29-11-2020 07:59,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17529,17898004,None,29-11-2020 07:59,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17530,1483264640,None,29-11-2020 07:58,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17531,1.04163E+18,None,29-11-2020 07:58,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17532,39854666,None,29-11-2020 07:58,None,0,51,"RT @M4Ximizando: Concorra a um'
",
17533,1.21986E+18,None,29-11-2020 07:58,None,0,279,"RT @CP2077Countdown: Poll: The'
",
17534,1.31997E+18,None,29-11-2020 07:57,None,0,2822,"RT @Fextralife: We are GIVING '
",
17535,3176778128,1.33274E+18,29-11-2020 07:57,None,0,0,"11 Days\n#Cyberpunk2077'
",
17536,1.3281E+18,None,29-11-2020 07:57,None,0,0,"\xf0\x9f\x92\xad\xe4\xba\x8c\xe6\xac\xa1\xe5\x85\x83\xe5\xb0\x8f\xe8\x90\x9d\xe8\x8e\x89\xf0\x9f\x92\xad\xe7\xab\xa5\xe9\xa2\x9c\xe5\xb7\xa8\xe4\xb9\xb3\n\xf0\x9f\x92\xad\xe7\x9a\xae\xe8\x82\xa4\xe8\xb6\x85\xe7\x99\xbd\xe9\x9d\x9e\xe5\xb8\xb8\xe5\xab\xa9\xf0\x9f\x92\xad\xe9\xab\x98\xe4\xb8\xad\xe7\x94\x9f\xe5\x85\xbc\xe8\x81\x8c\n\xf0\x9f\x92\xad0'
",
17537,160335189,None,29-11-2020 07:57,None,0,420,"RT @CP2077Countdown: After tod'
",
17538,1.0185E+18,None,29-11-2020 07:56,None,0,476,"RT @configgamer: \xf0\x9f\x8e\x81 #JeuConcour'
",
17539,1.08479E+18,None,29-11-2020 07:56,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17540,361826091,None,29-11-2020 07:56,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17541,9.2027E+17,None,29-11-2020 07:55,None,2,0,"#\xe3\x82\xb5\xe3\x82\xa4\xe3\x83\x90\xe3\x83\xbc\xe3\x83\x91\xe3\x83\xb3\xe3\x82\xaf2077\xc2\xa0\xe3\x80\x81Steam\xe3\x81\xae\xe3\x82\xaa\xe3\x83\xbc\xe3\x82\xbf\xe3\x83\xa0\xe3\x82\xbb\xe3\x83\xbc\xe3\x83\xab\xef\xbc\x88\xe5\x89\xb2\xe5\xbc\x95'
",
17542,1.21418E+18,None,29-11-2020 07:55,None,0,2,"RT @raynehorn: Hey @CDPROJEKTR'
",
17543,4899455420,None,29-11-2020 07:55,None,0,279,"RT @CP2077Countdown: Poll: The'
",
17544,1.18051E+18,None,29-11-2020 07:55,None,0,1,"RT @DavidShortcake: Artwork fo'
",
17545,2967917568,1.33253E+18,29-11-2020 07:54,None,0,0,"@CP2077Countdown Yay Me freaki'
",
17546,1.323E+18,None,29-11-2020 07:54,None,0,2,"Hey @CDPROJEKTRED, I\'m so mad '
",
17547,2381848560,None,29-11-2020 07:53,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17548,1.13071E+18,None,29-11-2020 07:53,None,0,140,"RT @Socket_775: It just blows '
",
17549,4236153887,None,29-11-2020 07:53,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17550,2221918292,None,29-11-2020 07:52,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17551,335702245,None,29-11-2020 07:52,None,0,420,"RT @CP2077Countdown: After tod'
",
17552,2967917568,None,29-11-2020 07:52,None,1,0,"Nomad \xf0\x9f\x91\xb9\xf0\x9f\x94\xa5\xf0\x9f\x98\xba\xf0\x9f\x92\x98\xf0\x9f\x98\xbb\xf0\x9f\x8e\x89#Cyberpunk2077 htt'
",
17553,27694600,None,29-11-2020 07:52,None,0,0,"https://t.co/vJrrPpI11y\n\nOk bu'
",
17554,2967917568,None,29-11-2020 07:52,None,0,279,"RT @CP2077Countdown: Poll: The'
",
17555,1.16779E+18,None,29-11-2020 07:51,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17556,27694600,None,29-11-2020 07:51,None,0,0,"Listening to a #Cyberpunk2077 '
",
17557,328479772,None,29-11-2020 07:51,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17558,1.04021E+18,None,29-11-2020 07:51,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17559,1.21727E+18,None,29-11-2020 07:50,None,0,54,"RT @colucci_up: Atualiza\xc3\xa7\xc3\xa3o do'
",
17560,923803088,None,29-11-2020 07:50,None,0,140,"RT @Socket_775: It just blows '
",
17561,1.11277E+18,1.33241E+18,29-11-2020 07:49,None,0,0,"\xd0\x9a\xd0\xbe\xd0\xbc\xd1\x83-\xd1\x82\xd0\xbe \xd0\xbd\xd0\xb0\xd0\xb4\xd0\xbe \xd1\x87\xd1\x82\xd0\xbe-\xd1\x82\xd0\xbe, \xd0\xb0 \xd0\xba\xd0\xbe\xd0\xbc\xd1\x83-\xd1\x82\xd0\xbe'
",
17562,956234126,None,29-11-2020 07:49,None,0,420,"RT @CP2077Countdown: After tod'
",
17563,1.31468E+18,None,29-11-2020 07:49,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17564,3131385940,None,29-11-2020 07:49,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17565,377766144,None,29-11-2020 07:48,None,0,140,"RT @Socket_775: It just blows '
",
17566,1678965343,None,29-11-2020 07:48,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17567,2775666105,None,29-11-2020 07:47,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17568,355449204,1.33261E+18,29-11-2020 07:47,None,1,0,"@Leclerc_JV @Bartabasse1 Oooh '
",
17569,1.17521E+18,1.33266E+18,29-11-2020 07:46,None,0,0,"@AORUS_DE #Cyberpunk2077 #RTXo'
",
17570,355449204,None,29-11-2020 07:46,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17571,3514540333,None,29-11-2020 07:45,None,0,448,"RT @GNOVELS_BOOK: \xe3\x80\x8eThe World o'
",
17572,1.08707E+18,None,29-11-2020 07:45,None,0,503,"RT @CP2077Countdown: 12 days. '
",
17573,9.5592E+17,None,29-11-2020 07:45,None,0,5756,"RT @Leclerc_JV: #Jeu #Concours'
",
17574,1.08398E+18,None,29-11-2020 07:45,None,0,279,"RT @CP2077Countdown: Poll: The'
",
